frame,wrist_x,wrist_y,wrist_z,wrist_visibility,elbow_x,elbow_y,elbow_z,elbow_visibility,shoulder_x,shoulder_y,shoulder_z,shoulder_visibility,hip_x,hip_y,hip_z,hip_visibility,clubhead_y,clubhead_valid,clubhead_y_smooth,address_idx,backswing_start_idx,backswing_top_idx,impact_raw_idx,impact_idx,finish_idx,impact_method,has_3d_data,wrist_x_smooth,wrist_y_smooth,wrist_z_smooth,elbow_x_smooth,elbow_y_smooth,elbow_z_smooth,shoulder_x_smooth,shoulder_y_smooth,shoulder_z_smooth,hip_x_smooth,hip_y_smooth,hip_z_smooth,follow_through_frames,elbow_angle_impact,arm_extension_label,max_speed_frame,max_speed_frames_from_impact,speed_timing_score,backswing_frames,downswing_frames,tempo_ratio,early_extension_score,early_extension_label,overall_score,overall_rating
0,0.3133675158023834,0.0739675909280777,0.16055962443351746,0.4278775453567505,0.24852220714092255,-0.14447638392448425,0.10573878884315491,0.30360856652259827,0.23481442034244537,-0.34738877415657043,0.028510112315416336,0.9999876022338867,0.02567434310913086,0.00030963029712438583,0.1271432638168335,0.9999549388885498,489.145263671875,1,489.36444091796915,0,15,29,37,37,56,yolo_refine_pm5,True,0.3135955929756167,0.07141646529947014,0.1603719478561766,0.24838216886633935,-0.14729131048633948,0.10525953024625785,0.23484272190502728,-0.35049795252936256,0.027350976974481647,0.025836593515816207,0.0002311343823315666,0.1271500133332753,19,165.58935381765326,Excellent,39,2,100,14,8,1.75,3,Low early extension risk,93,Excellent
1,0.313957154750824,0.06632407754659653,0.16055560111999512,0.4217740297317505,0.24800212681293488,-0.15219688415527344,0.10549230873584747,0.2979685962200165,0.23504526913166046,-0.35588881373405457,0.02608293481171131,0.9999873638153076,0.026293113827705383,0.00015227749827317894,0.1271689087152481,0.999955952167511,489.12481689453125,1,489.5074433826269,0,15,29,37,37,56,yolo_refine_pm5,True,0.31363837491898333,0.06749956877458668,0.16107856162956793,0.2475355423632124,-0.1521485753002622,0.10562330661785042,0.23484560776324515,-0.3556993206342064,0.02682863672574363,0.026085965069276965,6.203948301152286e-05,0.12717596476986304,19,165.58935381765326,Excellent,39,2,100,14,8,1.75,3,Low early extension risk,93,Excellent
2,0.3134257197380066,0.06221054494380951,0.16177675127983093,0.4045509397983551,0.24611030519008636,-0.15961937606334686,0.10559826344251633,0.28561416268348694,0.23496639728546143,-0.3639121651649475,0.025850268080830574,0.9999864101409912,0.02638949453830719,-0.00027530593797564507,0.12723514437675476,0.9999561309814453,490.99237060546875,1,490.1508614676343,0,15,29,37,37,56,yolo_refine_pm5,True,0.31355563941456044,0.06335202604532247,0.1620108201390222,0.24639974179722032,-0.15709380805492412,0.1069495000299954,0.2351912139427096,-0.3611356573445459,0.027252811140247774,0.02649391460276787,-0.00010170719871807496,0.1272202581167222,19,165.58935381765326,Excellent,39,2,100,14,8,1.75,3,Low early extension risk,93,Excellent
3,0.312828928232193,0.06018830090761185,0.16434384882450104,0.3930998146533966,0.24481451511383057,-0.1607956439256668,0.10982077568769455,0.2749541103839874,0.2354377657175064,-0.36502760648727417,0.029409734532237053,0.9999862313270569,0.026899753138422966,-0.0002156253467546776,0.1272871494293213,0.9999573826789856,489.55322265625,1,490.28717476981063,0,15,29,37,37,56,yolo_refine_pm5,True,0.3127051364807858,0.05990428353349372,0.1635274404571171,0.2450336409466609,-0.16085511091209606,0.10898624396040334,0.23562102871281776,-0.3654781409672331,0.028376122138329934,0.026985723347890962,-0.00022870317791655141,0.1273056836355301,19,165.58935381765326,Excellent,39,2,100,14,8,1.75,3,Low early extension risk,93,Excellent
4,0.31195396184921265,0.05918945372104645,0.16442441940307617,0.38730496168136597,0.2442646622657776,-0.1608479917049408,0.11179007589817047,0.26759564876556396,0.2366858720779419,-0.36590659618377686,0.031040385365486145,0.9999862909317017,0.027501579374074936,-0.0001840931217884645,0.1273811310529709,0.999958872795105,491.424072265625,1,490.70280238560304,0,15,29,37,37,56,yolo_refine_pm5,True,0.31143819860049676,0.058807769346804886,0.1651046538636799,0.24399055540561693,-0.16175366512366715,0.11118136914003471,0.2362702652102427,-0.36663864765848453,0.030259585362814742,0.027402899715872057,-0.0002455052294646436,0.12739781822477078,19,165.58935381765326,Excellent,39,2,100,14,8,1.75,3,Low early extension risk,93,Excellent
5,0.30962875485420227,0.057845745235681534,0.16671980917453766,0.38303858041763306,0.2432968020439148,-0.16167059540748596,0.11311793327331543,0.2629764974117279,0.23675976693630219,-0.3670717179775238,0.031615063548088074,0.9999862909317017,0.027845269069075584,-0.0002070132759399712,0.1275217980146408,0.9999599456787109,489.6321105957031,1,490.4315098353798,0,15,29,37,37,56,yolo_refine_pm5,True,0.3103542711053578,0.058228845220236594,0.16634905551161097,0.24353812989734486,-0.16147670930340188,0.11341505497694024,0.23706065189270764,-0.36660651082084317,0.03237037511453744,0.02779441876780421,-0.00017107908154555078,0.1274814534754981,19,165.58935381765326,Excellent,39,2,100,14,8,1.75,3,Low early extension risk,93,Excellent
6,0.30964770913124084,0.05815121531486511,0.16712234914302826,0.3721323311328888,0.2435486614704132,-0.16153302788734436,0.11435874551534653,0.25539007782936096,0.23786132037639618,-0.366584450006485,0.03369363397359848,0.9999861717224121,0.02800549380481243,-0.0001232364884344861,0.12753696739673615,0.9999614357948303,491.660400390625,1,490.78113083612385,0,15,29,37,37,56,yolo_refine_pm5,True,0.30941126602036634,0.05799078551076712,0.16707139071964094,0.2432884836480733,-0.1615085133484433,0.1147465638461568,0.23762427979991568,-0.36692075502304833,0.03386601504115834,0.028015000745654127,-0.00013973732218021604,0.12754249359880185,19,165.58935381765326,Excellent,39,2,100,14,8,1.75,3,Low early extension risk,93,Excellent
7,0.3097638189792633,0.05800221115350723,0.1678706258535385,0.3698076605796814,0.24384576082229614,-0.16148492693901062,0.11712022125720978,0.2522293031215668,0.23835167288780212,-0.3671213686466217,0.03722301498055458,0.9999863505363464,0.028059516102075577,-8.452802285319194e-05,0.12757296860218048,0.9999632835388184,490.0151672363281,1,490.8874758765815,0,15,29,37,37,56,yolo_refine_pm5,True,0.3098067371618182,0.05794522503302215,0.16789161236513242,0.24407612213066665,-0.1616253129073553,0.1167017306600299,0.2383656317279454,-0.3671168571426757,0.03653267185602872,0.028109103796027976,-9.168954922989505e-05,0.12757832024778648,19,165.58935381765326,Excellent,39,2,100,14,8,1.75,3,Low early extension risk,93,Excellent
8,0.3102492094039917,0.05815446376800537,0.16803951561450958,0.3679502010345459,0.24470852315425873,-0.16128617525100708,0.11831438541412354,0.2496594935655594,0.2388816773891449,-0.36716708540916443,0.03906469792127609,0.9999864101409912,0.028187673538923264,-2.5129056666628458e-05,0.12758035957813263,0.9999645948410034,491.795166015625,1,491.2680736723404,0,15,29,37,37,56,yolo_refine_pm5,True,0.3108172714710238,0.058040321760234416,0.16824157465071915,0.24533831505548404,-0.16159745625087205,0.1190233855020433,0.23931655358700543,-0.3672562241554263,0.04053828670155438,0.028126444224090823,-1.6716904394256544e-05,0.12759033129328784,19,165.58935381765326,Excellent,39,2,100,14,8,1.75,3,Low early extension risk,93,Excellent
9,0.3136022388935089,0.0579974502325058,0.16880197823047638,0.3646279275417328,0.24796418845653534,-0.16139838099479675,0.12146706879138947,0.24635103344917297,0.24070756137371063,-0.36753982305526733,0.04459668695926666,0.9999865293502808,0.028210202232003212,6.308235606411472e-05,0.127622589468956,0.9999659657478333,491.8269958496094,1,491.351478213356,0,15,29,37,37,56,yolo_refine_pm5,True,0.31250540983109265,0.05803751590706058,0.16926402492182607,0.24671997484706715,-0.16099580483777193,0.12173354625701913,0.2401532126324519,-0.3674780669666475,0.04459112013379736,0.028153382153028553,7.102866688260946e-05,0.12762418602194114,19,165.58935381765326,Excellent,39,2,100,14,8,1.75,3,Low early extension risk,93,Excellent
