id,mediapipe_impact,swingnet_impact,diff,abs_diff
1108,158,160,-2,2
1111,290,290,0,0
1119,266,267,-1,1
1149,150,339,-189,189
1152,223,223,0,0
1154,270,271,-1,1
1168,217,215,2,2
1169,154,155,-1,1
1170,379,378,1,1
1171,176,175,1,1
1174,152,154,-2,2
1192,168,168,0,0
1202,156,156,0,0
1212,182,183,-1,1
1214,148,150,-2,2
1216,147,147,0,0
1222,182,182,0,0
1226,219,220,-1,1
1266,319,319,0,0
1274,245,244,1,1
1277,145,146,-1,1
1284,137,137,0,0
1286,190,190,0,0
1306,185,185,0,0
1311,98,98,0,0
1318,110,110,0,0
1322,138,139,-1,1
1326,153,153,0,0
1332,187,187,0,0
1345,224,224,0,0
1350,176,176,0,0
1356,174,177,-3,3
1365,143,144,-1,1
1372,468,467,1,1
1378,286,286,0,0
1381,443,325,118,118
1387,160,161,-1,1
819,163,165,-2,2
