id,youtube_id,player,club,slow,fps,gt_top,pred_top,diff_top,abs_diff_top,gt_impact,pred_impact,diff_impact,abs_diff_impact,impact_method
820,2zHVHTvK8Fc,ALISON WALSHE,driver,0,29.97,317,349,32,32,333,363,30,30,wrist
1111,Q6yJx7HFlSg,AI MIYAZATO,driver,0,29.97,254,281,27,27,286,289,3,3,wrist
1119,7nSqNT_TmP4,GERINA PILLER,driver,0,29.97,250,259,9,9,263,266,3,3,wrist
1149,5X2PAjc5mng,BROOKE HENDERSON,iron,0,29.97,323,145,-178,178,336,149,-187,187,wrist
1152,Sw1jCHgKsgs,ALISON LEE,iron,1,29.98,157,193,36,36,209,221,12,12,wrist
1170,07lqNiTJVqc,HALE IRWIN,driver,0,29.97,365,371,6,6,375,378,3,3,wrist
1171,07lqNiTJVqc,HALE IRWIN,driver,1,29.97,123,145,22,22,163,176,13,13,wrist
1174,dC0UEvdY3B4,BILLY HORSCHEL,driver,1,29.97,102,127,25,25,141,151,10,10,wrist
1202,zHobaYHi6jE,LUKE GUTHRIE,driver,1,29.98,103,130,27,27,145,152,7,7,wrist
1216,W0YUPZGGQ34,TIGER WOODS,iron,1,29.98,91,118,27,27,137,145,8,8,wrist
1222,ersYXpqFs54,KATHERINE HULL,driver,1,29.98,133,157,24,24,167,180,13,13,wrist
1226,ZyJ7jfC9JUo,JUSTIN THOMAS,driver,1,29.96,147,178,31,31,209,217,8,8,wrist
1266,jAT24O_dvpE,JIN YOUNG KO,iron,0,29.97,301,331,30,30,315,347,32,32,wrist
1274,McdtFKcvw2A,INBEE PARK,driver,0,29.97,223,237,14,14,241,244,3,3,wrist
1277,avH7eRsAYVA,CHARLEY HULL,driver,1,29.97,91,114,23,23,132,145,13,13,wrist
1284,qP2p6LpAChM,GEOFF OGILVY,driver,0,29.98,122,128,6,6,134,137,3,3,wrist
1286,m1F8mY9mnaw,FREDRIK JACOBSON,driver,0,29.98,172,182,10,10,187,189,2,2,wrist
1306,THJhOepkkqs,REBECCA LEE BENTHAM,driver,1,29.97,122,151,29,29,172,181,9,9,wrist
1311,3fgQIb7cdhA,SERGIO GARCIA,driver,0,29.97,84,91,7,7,95,97,2,2,wrist
1318,u9r8UBMXCkA,BROOKS KOEPKA,driver,1,29.97,54,83,29,29,100,113,13,13,wrist
1322,AHtz9QPHMUU,LEE JANZEN,iron,1,29.97,81,105,24,24,126,140,14,14,wrist
1345,N-IPUBs00Ps,LUKE DONALD,iron,1,29.97,164,196,32,32,213,222,9,9,wrist
1356,53ISrO5Rg5c,BROOKE HENDERSON,fairway,0,29.97,161,166,5,5,173,169,-4,4,wrist
1365,W9X_bPR5jY0,SANG MOON BAE,hybrid,1,29.97,82,116,34,34,133,142,9,9,wrist
1378,0JGU4PO9KHg,CRISTIE KERR,driver,0,29.97,264,275,11,11,282,284,2,2,wrist
1381,340oumMy_KU,AI MIYAZATO,driver,1,29.97,185,359,174,174,313,445,132,132,wrist
